index	label	sentence	pos	v_index	definition
0	1	The invaders spread their language all over the country.	VERB	2	To stretch out, open out  so that it more fully covers a given area of space.
1	1	Sales were climbing after prices were lowered.	VERB	2	To ascend; rise; to go up.
2	1	The moon glared back at itself from the lake's surface.	VERB	2	To stare angrily.
3	1	The cancer cells are attacking his liver.	VERB	4	To apply violent force to someone or something.
4	0	You have ruined my car by pouring sugar in the tank!	VERB	2	To cause the fiscal ruin of.
5	1	The editors of the left- leaning paper attacked the new House Speaker.	VERB	7	To apply violent force to someone or something.
6	0	tack the notice on the board.	VERB	0	To nail with a tack .
7	0	European children learn the breast stroke; they often don't know how to crawl.	VERB	12	To creep; to move slowly on hands and knees, or by dragging the body along the ground.
8	0	Please guard my possessions while I'm away.	VERB	1	To protect from danger; to secure against surprise, attack, or injury; to keep in safety; to defend.
9	0	the infection spread.	VERB	2	To stretch out, open out  so that it more fully covers a given area of space.
10	0	Gun shots volleyed at the attackers.	VERB	2	To fire a volley of shots
11	0	We exploded the nuclear bomb.	VERB	1	To destroy with an explosion.
12	1	We rotate the crops so as to maximize the use of the soil.	VERB	1	To spin, turn, or revolve.
13	1	He injected new life into the performance.	VERB	1	To push or pump  into a cavity or passage.
14	0	Meteors showered down over half of Australia.	VERB	1	To spray with .
15	1	The conversation gravitated towards politics.	VERB	2	To move under the force of gravity.
16	1	The beams scanned the night sky.	VERB	2	To examine sequentially, carefully, or critically; to scrutinize; to behold closely.
17	1	poison someone's mind.	VERB	0	To use poison to kill or paralyse .
18	1	Don't abuse the system.	VERB	1	To put to a wrong use; to misapply; to use improperly; to misuse; to use for a wrong purpose or end; to pervert
19	1	The chemical clouded the liquid to which it was added.	VERB	2	To become foggy or gloomy, or obscured from sight.
20	0	this snake swims through the soil where it lives.	VERB	2	To move through the water, without touching the bottom; to propel oneself in water by natural means.
21	0	She nags her husband all day long.	VERB	1	To continuously remind or complain to  in an annoying way, often about insignificant or unnecessary matters.
22	1	Our business was hurt by the new competition.	VERB	3	To cause  physical pain and/or injury.
23	1	The fate of Bosnia lies in the hands of the West.	VERB	4	To rest in a horizontal position on a surface.
24	1	This poses an interesting question.	VERB	1	To place in an attitude or fixed position, for the sake of effect.
25	0	I inherited a castle from my French grandparents.	VERB	1	To take possession of as a right .
26	1	stock prices are drifting higher.	VERB	3	To move slowly, especially pushed by currents of water, air, etc.
27	1	I attacked the problem as soon as I got out of bed.	VERB	1	To apply violent force to someone or something.
28	0	The wildfire scorched the forest and several homes.	VERB	2	To burn the surface of something so as to discolour it
29	0	She locked her jewels in the safe.	VERB	1	To become fastened in place.
30	1	The cold pierced her bones.	VERB	2	To puncture; to break through.
31	1	The champagne flowed at the wedding.	VERB	2	To move as a fluid from one position to another.
32	1	A hot soup will revive me.	VERB	4	To return to life; to become reanimated or reinvigorated.
33	1	Life in the camp drained him.	VERB	4	To lose liquid.
34	0	This hotel can accommodate 250 guests.	VERB	3	To render fit, suitable, or correspondent; to adapt.
35	1	Interns have to rotate for a few months.	VERB	3	To spin, turn, or revolve.
36	1	Boys gravitate towards girls at that age.	VERB	1	To move under the force of gravity.
37	1	She was besieged by so many problems that she got discouraged.	VERB	2	To beset or surround with armed forces for the purpose of compelling to surrender, to lay siege to, beleaguer.
38	0	Sound is reflected well in this auditorium.	VERB	2	To bend back  from a surface.
39	0	The container leaked gasoline.	VERB	2	To allow fluid or gas to pass through an opening that should be sealed.
40	1	Sales were climbing after prices were lowered.	VERB	2	To ascend; rise; to go up.
41	1	I salute your courage!	VERB	1	To make a gesture in honor of .
42	0	The property vests in the trustees.	VERB	2	To clothe with, or as with, a vestment, or garment; to dress; to robe; to cover, surround, or encompass closely.
43	0	They began to volley the tennis ball.	VERB	3	To fire a volley of shots
44	0	Hitler attacked Poland on September 1, 1939 and started World War II.	VERB	1	To apply violent force to someone or something.
45	1	The professor plunged his students into the study of the Italian text.	VERB	2	To thrust into liquid, or into any penetrable substance; to immerse.
46	1	Islam is fermenting Africa.	VERB	2	To react, using fermentation; especially to produce alcohol by aging or by allowing yeast to act on sugars; to brew.
47	0	preserve the forest and the lakes.	VERB	0	To protect; to keep from harm or injury.
