index	label	sentence	pos	v_index	definition
0	0	When the U.S. expanded its gulf fleet a year ago to protect Kuwaiti tankers flying the U.S. flag, it left little doubt that it was siding with Iraq and the other Arab nations against Iran	VERB	14	To travel through the air, another gas, or a vacuum, without being in contact with a grounded surface.
1	0	The point of view of the economist here misses the essential by being too technical, namely that the values associated with a free- market economy can be destroyed by the tax system	VERB	27	To damage beyond use or repair.
2	0	Though they may fill some of the same military needs, the missiles are quite different from any arms the Saudis have sought from the U.S	VERB	3	To occupy fully, to take up all of.
3	1	Our view is that the Russians and Cubans figured this out some time ago, which is why, despite Mr. Reagan's occasional speeches, they never hesitated to pour advisers and war materiel by the ton into Nicaragua	VERB	26	To cause  to flow in a stream, either out of a container or into it.
4	1	Yet U.S. trade with and corporate activity in Panama continues, as do most flows from non- U.S. sources	VERB	13	To move as a fluid from one position to another.
5	0	It rained hard Saturday night along the Gulf Coast, and on Sunday morning the infield at McKechnie Field here was so wet that grounds crewmen were using plastic bottles to scoop up the standing water	VERB	1	To have rain fall from the sky.
6	1	The plant, situated amid the rolling Bavarian countryside, lies on a specially constructed foundation to minimize vibration in the fabricating rooms	VERB	5	To cause to revolve by turning over and over; to move by turning on an axis; to impel forward by causing to turn over and over on a supporting surface.
7	0	"The fires, Ford said, could be caused by a nylon wiring shield that could melt and drip onto the engine's hot exhaust manifold, "" resulting in an engine compartment fire.'"	VERB	14	To change  from a solid state to a liquid state, usually by a gradual heat.
8	0	However, new- crop beans -- to be planted this spring -- were up on continued expectations that this year's planted acreage won't exceed last year's by much, analysts said	VERB	19	To place  in soil or other substrate in order that it may live and grow.
9	0	It's not as though the prodnoses care whether people die of lung cancer	VERB	9	To stop living; to become dead; to undergo death.
10	0	New Year's Day, after an afternoon of eating my mother- in- law's chicken, I weigh in at 175 pounds	VERB	7	To ingest; to be ingested.
11	0	And in a withering critique of Wall Street's performance, the report shows that key participants -- including some major firms, stock exchange specialists and portfolio insurers -- not only failed to stem the chaos, but helped make it worse	VERB	3	To shrivel, droop or dry up, especially from lack of water.
12	1	While the 17 male supers who play guards and courtiers cool our heels, we are shoehorned into a room 15 feet square, reading newspapers and exchanging small talk	VERB	10	To lose heat, to get colder.
13	1	GE has poured more than$ 200 million into designing better turbine parts	VERB	2	To cause  to flow in a stream, either out of a container or into it.
14	0	"Beyond that, conditions on board were so vile that "" the sailor was at greater risk eating his meals aboard than fighting.'"	VERB	16	To ingest; to be ingested.
15	0	"But the suit says such rights "" evaporate "" with the sale of his holding"	VERB	7	to transition from a liquid state into a gaseous state
16	0	' It takes time to move them through the training and to get them ready to fly.'	VERB	16	To travel through the air, another gas, or a vacuum, without being in contact with a grounded surface.
17	0	The pension agency, which had briefly absorbed LTV's$ 2 billion pension shortfall, subsequently returned responsibility for the plans to the steelmaker	VERB	6	To include so that it no longer has separate existence; to overwhelm; to cause to disappear as if by swallowing up; to incorporate; to assimilate; to take in and use up.
18	0	Also, Charles L. Magee, formerly deputy general counsel, was named vice president, general counsel and secretary, filling vacancies created when Richard Stewart resigned to pursue private law practice	VERB	16	To occupy fully, to take up all of.
19	0	Perhaps hoping to keep the newcomers out, Pan Am and British Air applied to fly on each other's German routes	VERB	14	To travel through the air, another gas, or a vacuum, without being in contact with a grounded surface.
